Song Name,Genre,Tempo,Beats,Chroma_stft,RSME,Spec_Cent,Spec_BW,Rolloff,ZCR,MFCC
Amy Winehouse - Back To Black,r_b,123.046875,61,0.3741459,0.049684294,1904.5738925909163,2109.7335913304105,3879.8182059367746,0.09086641955301858,-4.8438725
Kem - Lie To Me (Lyric Video),r_b,86.1328125,41,0.42019653,0.17034423,1788.568507664527,2233.809664537258,3871.401590164232,0.06576339674438854,0.09354851
Trevor Daniel - Falling (Official Music Video),hiphop_rap,129.19921875,62,0.31680822,0.13333678,1432.8152042432846,1741.4320781390463,2834.5828596652477,0.06270483625193499,-2.2584236
Quality - Hot 97 (Audio),hiphop_rap,99.38401442307692,46,0.41005313,0.10706118,2160.0633311594684,2154.329366674669,4332.398802577158,0.08990308448626161,-1.7730349
Saweetie - My Type (Official Video),hiphop_rap,103.359375,48,0.42411536,0.05248241,2481.3371978446035,2443.1855720839635,5142.777235662974,0.10336180884771672,-6.6739683
6IX9INE- GOOBA (Official Music Video),hiphop_rap,172.265625,87,0.45341468,0.32980096,2408.0675980544834,2741.245928158163,5564.4580191503,0.07756037756385449,5.723208
"The Kid LAROI, Juice WRLD - GO (Official Video)",hiphop_rap,161.4990234375,75,0.4117561,0.027029486,2363.2596182967186,2281.4323537144132,4677.688381324981,0.13563939144736842,-20.538965
Beyoncé BLACK PARADE (Official Audio),hiphop_rap,117.45383522727273,58,0.54626995,0.36472654,2010.8845801238049,2507.2669762987757,4658.5468304046535,0.04882094439338235,8.228471
POP SMOKE - GOT IT ON ME (OFFICIAL VIDEO),hiphop_rap,172.265625,85,0.45599428,0.21782455,1311.4535089966216,1625.6080757230318,2576.5260867659154,0.05473474083301084,2.2575126
Lil Baby - Woah (Official Music Video),hiphop_rap,143.5546875,67,0.38304996,0.22458819,2077.4316753592325,2007.1456971221392,3991.40919782798,0.07922401073916409,-4.265733
I R R E P L A C E A B L E,hiphop_rap,103.359375,33,0.32576352,0.062455524,1863.912289385374,1779.5437951653248,3613.6698152996805,0.10172840980553406,-17.255589
Megan Thee Stallion - Girls in the Hood [Lyric Video],hiphop_rap,89.10290948275862,41,0.46680462,0.31062347,2777.3275991729274,2549.0744102608032,5737.298640673374,0.1101784720878483,4.061018
Lil Baby - Emotionally Scarred (Official Video),hiphop_rap,172.265625,87,0.39029428,0.12597692,1271.1630870714916,1464.2685381237536,2785.866487579818,0.063899462437113,-0.49364012
J.I. -Need Me (Official Music Video),hiphop_rap,95.703125,42,0.2700269,0.1247646,2289.6382619070678,1859.4593954373443,4287.282408723152,0.11970789292279412,-11.51119
Megan Thee Stallion - Savage Remix (feat. Beyoncé) [Official Audio],hiphop_rap,172.265625,84,0.36918843,0.14196582,3052.352605079274,2988.0718986160555,6736.2426001959175,0.1341979791505418,-2.1830025
Drake - Toosie Slide,hiphop_rap,112.34714673913044,55,0.5833758,0.011273269,1056.1110577157276,1866.2458303945327,1629.1651486612325,0.03255687040441176,-8.702986
Roddy Ricch - High Fashion (feat. Mustard) [Official Audio],hiphop_rap,99.38401442307692,48,0.3437333,0.06675716,3041.301925062326,2226.9824022139837,5440.167104053792,0.1937622448239164,-17.248537
