Alternative,Blues,Classical,Country,HipHop/Rap,Latin,R&B,Rock
"Panic! At the Disco Hey Look Ma, I Made It",King Floyd Groove Me,"Michael Halász, Michelle Breedt & Nicolaus Esterházy Sinfonia Marriage of Figaro: Voi che sapete","Cory Marks Outlaws & Outsiders (feat. Travis Tritt, Ivan Moody & Mick Mars)",R.A. the Rugged Man Definition of a Rap Flow (Albee 3000) [feat. Amalie Bruun],Bad Bunny & Jhay Cortez CÓMO SE SIENTE (Remix),Mahalia What You Did (feat. Ella Mai),Trippie Redd Dreamer
Billie Eilish bellyache,Manx Marriner Mainline Hell Bound For Heaven,Douglas Riva Enfants d'un Rêve,Luke Combs When It Rains It Pours,Lil Baby Woah,Joan Sebastian Hoy Tengo Miedo,Joji SLOW DANCING IN THE DARK,Electric Light Orchestra Mr. Blue Sky
Foo Fighters Everlong (Acoustic Version),D Fine Us Howling at the Moon (feat. Vigz),J. Sibelius Karelia Suite Op.11: III Alla Marcia,Kip Moore She's Mine,Pop Smoke Christopher Walking,Daddy Yankee Gasolina,Ali Gatie Running On My Mind,Electric Light Orchestra Mr. Blue Sky
Lil Peep Star Shopping,Ike Turner Rocket 88,Miquel Villalba Canco de l'hivern,Taylor Swift Mine (US Version),Pop Smoke Got It on Me,Alejandro Fernández & Vicente Fernández Mentí,"P. Diddy I Need a Girl, Pt. 1 (feat. Loon & Usher)","Billy Idol White Wedding, Pt. 1"
Elbow Scattered Black and Whites,Theodis Ealey Stand Up In It,"Hans Zimmer, Vienna Radio Symphony Orchestra & Martin Gellner The Da Vinci Code Orchestra Suite: Part 3 (Live)",Lonestar Amazed,Diana Ross Chain Reaction,Black Eyed Peas & シャキーラ GIRL LIKE ME,Jhen� Aiko P*$$Y Fairy (OTW),LINKIN PARK Numb
Billie Eilish wish you were gay,Sid Phillips Sea Of Love,Annelie Tomorrow,Dolly Parton Jolene (Single Version),Pop Smoke Creature (feat. Swae Lee),Edwin Luna y La Trakalosa de Monterrey Dormida,Usher DJ Got Us Fallin' In Love (feat. Pitbull),Rod Stewart Baby Jane
Highly Suspect These Days,ジョニー・テイラー Everything's Out In the Open,"Stéphane Denève, Brussels Philharmonic & Renaud Capuçon Cinema Paradiso",Zac Brown Band Chicken Fried,SAINt JHN Roses,6ix9ine YAYA,Summer Walker I'll Kill You (feat. Jhen� Aiko),The Rolling Stones Angie
Tones And I Ur So F**kInG cOoL,Ina Forsman Don't Hurt Me Now,Iannis Eralos Trost (feat. Juan Maria Solare),Ingrid Andress Waste of Lime,Pop Smoke Mood Swings (feat. Lil Tjay),Enigma Norteño & Javier Rosas y Su Artillería Pesada Del Este Soy,Usher U Remind Me,Eagles Take It Easy
The Black Keys Shine A Little Light,Arthur Young Funky Forty,"Christoph Prégardien, Orchestra of the Age of Enlightenment & Gustav Leonhardt Schweigt stille, plaudert nicht, BWV 211 ""Coffee Cantata"": I. Schweigt stille, plaudert nicht (Rezitativ)",Jake Owen Made for You,Flipp Dinero How I Move (feat. Lil Baby),Luis Fonsi & Demi Lovato Échame la Culpa,The Weeknd Can't Feel My Face,Starship Nothing's Gonna Stop Us Now
Grouplove Tongue Tied,Ivas John Sunday Morning Blues,Milana Zilnik Garofano,Taylor Swift You Belong With Me,Pop Smoke Something Special,ViVO! First Cut Is the Deepest,Queen Naija Butterflies Pt. 2,Queen We Are the Champions
Biffy Clyro Tiny Indoor Fireworks,Jimi Hendrix Born Under a Bad Sign,"Leningrad Soloists, Alfredo Perl, Carmen Piazzini & Michail Gantvarg Piano Concerto No. 10 for 2 Pianos and Orchestra in E-Flat Major, K. 365: III. Rondeau - Allegro",Luke Combs Hurricane,MGB Pedigree The Difference (feat. Gotti Da Ghost),Luis Coronel & La Séptima Banda No Es Que Me Gustes,The Weeknd In Your Eyes (Remix) [feat. Doja Cat],Ruggernaut Let Me Be Free
Peach Tree Rascals Mariposa,Muddy Waters Mannish Boy,"Max Richter, Ben Russell & Clarice Jensen Dream 11 (whisper music) [Pt. 1]",Thomas Rhett Look What God Gave Her,"Miksu / Macloud, Summer Cem & Luciano XXL (feat. Jamule)","Jhay Cortez, J Balvin & Bad Bunny No Me Conoce (Remix)",Summer Walker Body,Metallica Enter Sandman
Imagine Dragons Natural,Billy Stewart Sitting In the Park,"Berliner Philharmoniker & Herbert von Karajan Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio",LANCO What I See,Lloyd featuring Lil Wayne You (feat. Lil Wayne),Banda Sinaloense MS de Sergio Lizárraga ¿Quién Pierde Más?,"Earth, Wind & Fire Let's Groove",Electric Light Orchestra Don't Bring Me Down
Vance Joy Riptide,John Lee Hooker Boom Boom (feat. Jimmie Vaughan),Ludovico Einaudi Una Mattina,Lady Antebellum What If I Never Get Over You,Pop Smoke Snitching (feat. Quavo & Future),Nicky Jam & J Balvin X,"Earth, Wind & Fire September",Fleetwood Mac The Chain
Machine Gun Kelly Bloody Valentine,Eminem & Sway & King Tech Get You Mad,Phil Larson In Hope,Morgan Wallen Up Down (feat. Florida Georgia Line),Will Smith Gettin' Jiggy Wit It,Daddy Yankee Dura,Aloe Blacc I Need a Dollar,Mrs. GREEN APPLE インフェルノ
Smashing Pumpkins Disarm,Etta James Tell Mama,Andrea Bocelli Besame mucho,Dustin Lynch Ridin' Roads,Drake Money In The Grave (feat. Rick Ross),La Original Banda El Limón de Salvador Lizárraga Lo Tienes Que Saber,6LACK Outside,Metallica Nothing Else Matters
Coldplay Fix You,Carl Sims I'm Trapped,"Ingo Goritzki, Polish Chamber Philharmonic & Wojciech Rajski Concerto in B-Flat Major for Oboe & Orchestra: I. Allegro assai",Taylor Swift Back to December,Rin音 snow jam,"ROSALÍA & Ozuna Yo x Ti, Tu x Mi",Anita Baker Sweet Love,U2 With or Without You
Faith No More Epic,"Beth Hart & Joe Bonamassa Well, Well (Live)","Carlos Cipa I Wanted You to Know (on Yamaha Upright, 1981)",Taylor Swift Mean,L i l C h r i s R E a L S H ! T,Juan Viurquis Ni Diablo Ni Santo,Khalid 8TEEN,Billy Joel It's Still Rock and Roll to Me
