Alternative,Blues,Classical,Country,HipHop/Rap,Latin,R&B,Rock
Radiohead Creep,尾崎嘉宣 朝日楼 (朝日のあたる家),"Philharmonic Promenade Orchestra Of London & Sir Adrian Boult Symphony No. 6 In F Major, Op. 68, ""Pastoral,"" IV. Tempest and Storm: Allegro",Old Dominion One Man Band,Kanye West Wash Us in the Blood (feat. Travis Scott),Banda Tierra Sagrada & Imperio Calavera Entre Lo Bueno y Lo Malo,Amy Winehouse Rehab,The Police Every Breath You Take
SHAED Trampoline,Gary Moore Still Got the Blues,Yiruma Room With A View,テイラー・スウィフト We Are Never Ever Getting Back Together,Lil Mosey Blueberry Faygo,Bad Bunny MIA (feat. Drake),Doja Cat Say So (feat. Nicki Minaj),Teenage Time Killers Ode to Sean Hannity (feat. Jello Biafra)
Billie Eilish ocean eyes,The Animals The House of the Rising Sun,西村由紀江 笑顔に会えたら,Dan + Shay Speechless,Lil Baby The Bigger Picture,Banda Sinaloense MS de Sergio Lizárraga Altamente Probable,Chloe x Halle Do It,Queen Another One Bites the Dust
Tones and I Never Seen the Rain,Taj Mahal Mary Don't You Weep,Melody Musings Poplar Fluff,Thomas Rhett Beer Can't Fix (feat. Jon Pardi),Kalvonix One Day I'll Be Fine,Luis Fonsi & Daddy Yankee Despacito,Lionel Richie All Night Long (All Night) [Single Version],Bruce Springsteen Dancing In the Dark
Foster the People Pumped Up Kicks,Blues Saraceno The River,Academy of St. Martin in the Fields & Sir Neville Marriner Simple Symphony Op. 4 (1998 Remastered Version): II. Playful Pizzicato,Kane Brown Cool Again,Mustard Ballin’ (feat. Roddy Ricch),Los Ángeles Azules Y la Hice Llorar (feat. Abel Pintos),6LACK Long Nights,The Beatles Let It Be
Melanie Martinez Play Date,Beth Hart & Joe Bonamassa I'll Take Care of You,Rosey Chan Autumn,Blake Shelton God's Country,"Tamezz, Blue Number Seven, VHS & 011 Invisible Session 01",Ozuna Caramelo,Tory Lanez The Take (feat. Chris Brown),The Killers Mr. Brightside
AJR Bang!,Etta James The Man I Love,Sting Fields of Gold (New Version),Chris Janson Done,Megan Thee Stallion Savage Remix (feat. Beyoncé),La Adictiva Banda San José de Mesillas Escondidos,Mario Let Me Love You,Naked Eyes Always Something There to Remind Me
New Order Blue Monday,りりあ。 浮気されたけどまだ好きって曲。,Ludovico Einaudi Nuvole bianche,Justin Moore Why We Drink,S1mba Rover (feat. DTG),Daddy Yankee Con Calma (feat. Snow),Rotimi In My Bed (feat. Wale),Queen Don't Stop Me Now
Red Hot Chili Peppers Under the Bridge,Rick Krive Go Big Daddy,Lavinia Meijer Gnossienne No. 5,Jimmie Allen & Noah Cyrus This is Us,Drake Chicago Freestyle (feat. Giveon),Banda Carnaval Esta Vez Soy Yo,Ali Gatie It's You,Five Finger Death Punch A Little Bit Off
Coldplay A Sky Full of Stars,米弟華特 Mannish Boy,Agnes Fredenberg In the Stillness of Summer,LeAnn Rimes Can't Fight the Moonlight,Wiz Khalifa See You Again (feat. Charlie Puth),"Feid, J Balvin, Maluma, Nicky Jam, Sech & Justin Quiles PORFA (Remix)",TLC Waterfalls,Nickelback How You Remind Me
